url,text,body_text,body=source?,
https://bit.ly,FALSE,FALSE,TRUE,
https://telegraph.co.uk,FALSE,FALSE,TRUE,
https://amazon.de,FALSE,FALSE,TRUE,
https://steampowered.com,FALSE,FALSE,TRUE,
https://latimes.com,TRUE,TRUE,TRUE,
https://ok.ru,FALSE,FALSE,TRUE,
https://office.com,FALSE,FALSE,TRUE,
https://bloomberg.com,FALSE,FALSE,TRUE,
https://booking.com,FALSE,FALSE,TRUE,
https://harvard.edu,FALSE,FALSE,TRUE,
https://twitter.com,FALSE,FALSE,TRUE,
https://fb.com,FALSE,FALSE,TRUE,
https://goo.gl,FALSE,FALSE,TRUE,
https://books.google.com,FALSE,FALSE,TRUE,
https://nasa.gov,FALSE,FALSE,TRUE,
https://change.org,FALSE,FALSE,TRUE,
https://cnet.com,TRUE,TRUE,TRUE,
https://search.google.com,FALSE,FALSE,TRUE,
https://amazon.co.jp,FALSE,FALSE,TRUE,
https://tools.google.com,FALSE,FALSE,TRUE,
https://google.fr,FALSE,FALSE,TRUE,
https://ebay.com,FALSE,FALSE,TRUE,
https://abril.com.br,FALSE,TRUE,FALSE,FALSE
https://buydomains.com,TRUE,FALSE,FALSE,TRUE
https://rakuten.co.jp,FALSE,TRUE,FALSE,FALSE
https://time.com,TRUE,FALSE,FALSE,TRUE
https://id.wikipedia.org,FALSE,FALSE,TRUE,
https://draft.blogger.com,FALSE,FALSE,TRUE,
https://aboutads.info,FALSE,FALSE,TRUE,
https://bloglovin.com,FALSE,FALSE,TRUE,
https://umich.edu,FALSE,FALSE,TRUE,
https://hm.com,FALSE,FALSE,TRUE,
https://my.yahoo.com,FALSE,FALSE,TRUE,
https://chicagotribune.com,FALSE,FALSE,TRUE,
https://addthis.com,TRUE,TRUE,TRUE,
https://nginx.org,FALSE,FALSE,TRUE,
https://google.nl,FALSE,FALSE,TRUE,
https://columbia.edu,FALSE,FALSE,TRUE,
https://detik.com,FALSE,FALSE,TRUE,
https://ibm.com,FALSE,FALSE,TRUE,
https://kickstarter.com,FALSE,FALSE,TRUE,
https://newsweek.com,TRUE,FALSE,FALSE,TRUE
https://ovh.net,FALSE,FALSE,TRUE,
https://npr.org,FALSE,FALSE,TRUE,
https://economist.com,TRUE,TRUE,TRUE,
https://scoop.it,FALSE,FALSE,TRUE,
https://sciencedirect.com,FALSE,FALSE,TRUE,
https://guardian.co.uk,TRUE,TRUE,TRUE,
https://netvibes.com,FALSE,FALSE,TRUE,
https://ria.ru,FALSE,FALSE,TRUE,
https://washington.edu,FALSE,FALSE,TRUE,
https://gnu.org,FALSE,FALSE,TRUE,
https://enable-javascript.com,FALSE,FALSE,TRUE,
https://pixabay.com,FALSE,FALSE,TRUE,
https://cbsnews.com,TRUE,TRUE,TRUE,
https://engadget.com,FALSE,FALSE,TRUE,
https://lemonde.fr,FALSE,FALSE,TRUE,
https://yahoo.co.jp,FALSE,FALSE,TRUE,
https://britannica.com,FALSE,FALSE,TRUE,
https://yandex.ru,FALSE,FALSE,TRUE,
https://buzzfeed.com,TRUE,FALSE,FALSE,TRUE
